Teks,Prediksi Sentimen
kariawan usah pt rimkenapa aplikasi living menu pinjamanyamohon bantu menu pinjamanya,Negatif
sih update error ganggu tolong baik kali update unistal download update pakai pulsa capek bolak konter pulsa jarak konter rumah,Negatif
tambah notifikasi live nya kak mutasi bantu buka aplikasi transfer masuk,Negatif
lemottttttt parah tingkat kualitas hancur log pasword ketik urgent tolong dibenerin ganti pakai data samaaa ubah sentuh layar coba test klik lupa password aneh banget apk kesel,Negatif
dar informasi nasabah habis update lot sila unistal aplikasi nya download ulang login coba hasil aplikasi normal tampil baru tks,Negatif
mohon maaf logo kuning diupdate hp lupa akun passwordnya beda logo biru dinonaktikan aplikasi logo biru milik moga nonaktif logo biru masalah guna nonaktif kapasitas smartphone milik orang beda mohon option pakai salah satu logo biru kuning terima kasih,Negatif
apk livin sih gajih saldo suka hilang ittu nya lumayan tolong admin benerin sih saldo hilang sih,Negatif
mohon kembang update aplikasi mbangking buka buka tolong baik dampak hambat laku transaksi buka aplikasi mbangkingnya,Negatif
tampil bagus banget pikir tolong buang nyaman ego tim desainceosiapapun bikin putus bagus tampil janji naikin bintang,Negatif
lapor gmail balas suruh tunggu banget konfirmasi apa mending tutup akun simpan uang bank milik layan customer service buruk,Negatif
kali kaya komentar buruk apps super parah tampil user experience user friendly fiturnya jalan point tau deh transfer baca fitur sedia what fitur basic apps bank transfer salah bank indonesia coba transfer bank proses tunggu jam apa,Negatif
transaksi rekening insentif bulan nya rapel norek nyata aktif ganti insentif masuk urus saldo sedot kali,Negatif
guna kecewa login jam buka lgikudu login password masuk dftr password sesuai kali coba masuk mohon mudah,Negatif
tolong baik apk nya topup dana ganggu transfer ganggu jaring bagus tolong benerin masalahnyaa agara lancar transaksi topup,Negatif
aplikasi lengkap biru ecek transaksi emoney topup adaiin emoneynya informasi karakter terang tansaksinya kalo ubah transaksi bank gonta ganti aplikasi,Negatif
mantapppp aplikasi livin mandiri aplikasi mudah perlu transfertopuppembukaan deposito tabung rencana antri bank,Negatif
aplikasi eror pakai masuk otp tinggal mencet eror eror,Negatif
konsisten mudah akses,Negatif
maaf ya kak nilai turun kwalitas aplikasi jelek susah dibukatrus bayar setor saldo potong dana hutang kurang tlng teliti potong dana angsur nasabah biar dirugikanjuga buat atur dana masuk detailbiar cek ulang dibutuhkanbukan dana sajajuga update cuman bikin error,Negatif
tahun ganti hp livin mandiripada registrasiselalu muncul verifikasi tambah diperlukansilahkan kunjung bank mandiri dekat bank mandiripegawai nya temu solusi kirim email hubung kali selesai,Negatif
sih gagal transfer top up saldo kalo simpan uang potong potong tau wajar anjir erti bilang update update soalnyaurusan hambat,Negatif
mohon maafloading nya banget tolong proses cepatpadahal koata isisaya banget nih,Negatif
ubah nomor livin kayak tunggu kelar transaksi livin sulit ubah nomor bikin automatis aktif suruh tunggu tunggu sistem lambat kenerja,Negatif
maaf internet banking transaksi isi pulsa tranfer uang topup hasil transaksi sila ulang transaksi,Negatif
parah livin bagus biru muncul menu multipayment pilih batas vendor temu temu parah parah,Negatif
kah sering baru lag butuh cepat ganggu aplikasi bntarbntar baru maksa,Negatif
tolong baik sistem verifikasi wajah putus asa gagal mulu kali,Negatif
nyaman apk nya mudah ribet baik kasih bintang kalo baik bintang,Negatif
